DamFunctTbl_multiplier,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Costs,Flood damage (Milj. Euro),Number of casualties
0.02739766440096864,-0.0936688810842339,-0.09308523894446337,-0.07366569727287693,24,1.0988619746927986,0.0029784357530935326,urbanizationDeurbanization,waasmodel,RfR Small Scale,0.0,46541.0,720.9819
0.07354245189818914,0.07596775554293675,-0.052661533226985344,-0.06939862029749728,27,1.0347620305231746,0.025971668839692288,urbanizationDeurbanization,waasmodel,RfR Small Scale,0.0,43166.0,975.8965
0.07767970122974467,-0.07398222706023982,0.053066649203209935,-0.08372056801893232,22,1.3865207711872762,-0.012928661387688792,urbanizationLargeAndFast,waasmodel,RfR Small Scale,0.0,65178.0,1509.76748
0.05255447624878671,-0.007538811393098976,-0.022714597197103528,-0.08485045998190796,6,1.2177870209400268,-0.07854485904193027,moreNature,waasmodel,RfR Small Scale,0.0,13769.0,467.26077
-0.01890288378120189,-0.04685603939261103,0.03429985065366528,-0.008298058836355732,12,1.245654864555108,-0.018393723554084838,moreNature,waasmodel,RfR Small Scale,0.0,20668.0,540.91675
0.04208920844304198,-0.08504030270062582,0.09493356088668216,0.009208571508447077,18,1.2692532747012693,-0.09987663045820945,moreNature,waasmodel,RfR Small Scale,0.0,19910.0,473.80904000000004
-0.057683186916610736,0.06811240607692351,-0.03702992064518144,0.08753917898295457,25,1.018246843406046,-0.08828916050677829,urbanizationDeurbanization,waasmodel,RfR Small Scale,0.0,28571.0,637.0414
-0.08323740666006796,-0.09702449355509794,0.08153125173943515,0.07833201748324034,3,1.4323451561069718,0.013822515003843322,sustainableGrowth,waasmodel,RfR Small Scale,0.0,17403.0,781.1596
-0.0910688340779696,0.02803615907295157,0.04441432167086054,-0.053268382740756036,22,1.126374284965706,0.06740575191196027,moreNature,waasmodel,RfR Small Scale,0.0,33178.0,720.97495
0.032361031367468235,-0.006058763321422674,0.023400056041417514,-0.059064589738837214,14,1.131915718076023,-0.059685298671856526,moreNature,waasmodel,RfR Small Scale,0.0,22598.0,837.83808
-0.030232772537960806,-0.0025102540279074714,-0.060805544439672475,0.048246831178428366,9,1.0151854776075195,-0.05779452413345379,urbanizationLargeSteady,waasmodel,RfR Small Scale,0.0,18169.0,369.10900000000004
