DamFunctTbl,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Costs,Flood damage (Milj. Euro),Number of casualties
0.08707903151615001,-0.0997653049447387,0.012521072071883244,0.004888898396691378,4,1.0275292411401726,-0.0007298786037426008,NoChange,waas,no policy,0.0,0.0,0.0
-0.04993156666716763,0.027523714072299255,-0.06338217855300744,-0.038641520140943963,1,1.0904719202468414,0.06460734605880161,sustainableGrowth,waas,no policy,0.0,0.0,0.0
0.0006888334004608587,0.05395749073701539,0.011592283749566735,-0.035818547299686795,9,1.528231651274356,-0.01849528216886984,sustainableGrowth,waas,no policy,0.0,0.0,0.0
0.049930416514910925,-0.0644285696234051,0.02134613856623624,0.04068075170499137,9,1.5975763092548492,0.02011717161449093,sustainableGrowth,waas,no policy,0.0,0.0,0.0
-0.034239761770007024,0.0996289230793816,-0.001651637732067751,0.00503832113157196,9,1.5415251530452063,-0.0644598947220448,moreNature,waas,no policy,0.0,0.0,0.0
0.0675161155166448,0.09166050072781776,0.008100234996337679,0.03710184750579101,26,1.0474980907579607,-0.048132147814146084,NoChange,waas,no policy,0.0,1309.0,8.88
-0.04449988193697292,-0.08564457007540548,-0.0831267692027284,-0.01156015243383976,6,1.3238069333874525,-0.0751160861307501,urbanizationLargeAndFast,waas,no policy,0.0,0.0,0.0
0.06254464016595995,-0.028357074485626618,0.008954433517549987,0.046830950545481004,11,1.4692359308319798,0.06999896891932884,urbanizationLargeSteady,waas,no policy,0.0,2883.0,23.1379
0.06973421240260455,-0.03922082126852442,-0.057587023539784565,0.07231141488315139,17,1.5931756181925016,-0.0653441266286463,sustainableGrowth,waas,no policy,0.0,2373.0,19.6
0.09048003823342435,0.02687607815590892,-0.07682301639213766,0.07879047015570576,3,1.1023885348643785,0.06342424486990325,NoChange,waas,no policy,0.0,1339.0,8.8839
-0.06769171633908358,-0.09877067312900732,0.09258010376477574,0.0009226819658319229,15,1.0570426820238346,-0.04363525948466142,Deurbanization,waas,no policy,0.0,915.0,6.16
